id,address_key,line1,line2,city,province_name,province_code,postal_code,country_code,created_at
1,1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,Buenos Aires,BA,1001,AR,2023-12-13 10:49:04
2,2,Sucursal Córdoba - Av. Principal 102,,Córdoba,Córdoba,CBA,1002,AR,2023-11-13 13:09:24
3,3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,Santa Fe,SF,1003,AR,2023-07-31 15:36:04
4,4,Sucursal Mendoza - Av. Principal 104,,Mendoza,Mendoza,MZA,1004,AR,2023-09-16 13:54:28
5,1001,Calle 5545,Piso 4 Dto B,Córdoba,Córdoba,CBA,4934,AR,2024-11-30 05:12:08
6,1002,Calle 2808,Piso 9 Dto C,Rafaela,Santa Fe,SF,2071,AR,2023-11-06 01:45:04
7,1003,Calle 3108,Piso 4 Dto C,CABA,Buenos Aires,BA,7131,AR,2024-09-10 22:05:42
8,1004,Calle 4007,,Río Cuarto,Córdoba,CBA,9773,AR,2024-08-04 23:55:39
9,1005,Calle 4050,Piso 1 Dto C,Santa Fe,Santa Fe,SF,3071,AR,2025-07-03 13:39:34
10,1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,Mendoza,MZA,2062,AR,2024-01-21 02:22:29
11,1007,Calle 8343,Piso 6 Dto B,Mar del Plata,Buenos Aires,BA,3932,AR,2024-09-16 22:26:09
12,1008,Calle 7919,Piso 12 Dto B,Río Cuarto,Córdoba,CBA,5396,AR,2025-01-17 20:21:10
13,1009,Calle 600,,Río Cuarto,Córdoba,CBA,8406,AR,2024-05-04 02:29:27
14,1010,Calle 6964,,La Plata,Buenos Aires,BA,7129,AR,2024-06-04 09:32:16
15,1011,Calle 1377,Piso 5 Dto B,Córdoba,Córdoba,CBA,4771,AR,2023-07-08 21:55:09
16,1012,Calle 5512,Piso 7 Dto B,Mar del Plata,Buenos Aires,BA,8086,AR,2025-01-30 06:51:52
17,1013,Calle 5195,,La Plata,Buenos Aires,BA,3942,AR,2025-03-22 03:20:26
18,1014,Calle 1244,Piso 6 Dto A,Mar del Plata,Buenos Aires,BA,9220,AR,2025-07-10 14:14:01
19,1015,Calle 4529,,CABA,Buenos Aires,BA,2168,AR,2024-11-15 14:36:17
20,1016,Calle 5469,Piso 4 Dto C,CABA,Buenos Aires,BA,5096,AR,2024-08-18 06:03:17
21,1017,Calle 4497,,Río Cuarto,Córdoba,CBA,9898,AR,2024-06-14 15:50:06
22,1018,Calle 4618,Piso 6 Dto B,La Plata,Buenos Aires,BA,1194,AR,2025-05-08 05:35:03
23,1019,Calle 6513,,Córdoba,Córdoba,CBA,8773,AR,2024-05-03 01:49:55
24,1020,Calle 7680,Piso 12 Dto B,Mar del Plata,Buenos Aires,BA,2406,AR,2024-09-03 08:16:32
25,1021,Calle 6844,Piso 4 Dto B,Santa Fe,Santa Fe,SF,1493,AR,2024-12-08 01:50:05
26,1022,Calle 5007,Piso 12 Dto A,CABA,Buenos Aires,BA,6810,AR,2024-10-14 21:29:29
27,1023,Calle 6609,Piso 12 Dto C,La Plata,Buenos Aires,BA,6342,AR,2023-06-11 02:26:38
28,1024,Calle 2280,Piso 3 Dto B,Córdoba,Córdoba,CBA,7247,AR,2024-03-18 05:17:59
29,1025,Calle 8758,Piso 7 Dto A,Mendoza,Mendoza,MZA,2779,AR,2024-09-27 20:05:40
30,1026,Calle 4992,,Villa Carlos Paz,Córdoba,CBA,3910,AR,2023-06-24 19:15:06
31,1027,Calle 8006,,Rafaela,Santa Fe,SF,2138,AR,2024-12-25 11:10:31
32,1028,Calle 4770,,CABA,Buenos Aires,BA,8449,AR,2023-08-03 06:00:35
33,1029,Calle 2816,Piso 6 Dto B,CABA,Buenos Aires,BA,3572,AR,2023-10-25 00:50:01
34,1030,Calle 7836,Piso 12 Dto A,La Plata,Buenos Aires,BA,4382,AR,2023-11-23 20:13:35
35,1031,Calle 7082,Piso 12 Dto C,Santa Fe,Santa Fe,SF,3601,AR,2024-08-30 01:20:04
36,1032,Calle 7520,,Río Cuarto,Córdoba,CBA,3337,AR,2025-03-28 10:04:40
37,1033,Calle 9910,Piso 4 Dto C,La Plata,Buenos Aires,BA,9043,AR,2025-04-19 21:40:10
38,1034,Calle 1493,Piso 5 Dto C,CABA,Buenos Aires,BA,6681,AR,2024-08-10 01:41:32
39,1035,Calle 6801,Piso 4 Dto A,CABA,Buenos Aires,BA,8501,AR,2024-12-23 13:21:01
40,1036,Calle 9317,,Mendoza,Mendoza,MZA,4927,AR,2024-01-06 08:08:24
41,1037,Calle 8811,,Mar del Plata,Buenos Aires,BA,4559,AR,2025-06-10 14:33:01
42,1038,Calle 1987,,Mar del Plata,Buenos Aires,BA,9264,AR,2024-09-23 10:39:02
43,1039,Calle 4142,,CABA,Buenos Aires,BA,8572,AR,2023-06-16 12:06:53
44,1040,Calle 7568,Piso 7 Dto B,Mar del Plata,Buenos Aires,BA,4185,AR,2025-01-11 05:05:27
45,1041,Calle 1879,Piso 12 Dto A,La Plata,Buenos Aires,BA,8606,AR,2025-05-28 01:08:03
46,1042,Calle 8986,Piso 11 Dto A,CABA,Buenos Aires,BA,3297,AR,2025-05-06 08:14:19
47,1043,Calle 2795,,Rosario,Santa Fe,SF,3903,AR,2024-08-04 22:30:27
48,1044,Calle 6404,,Mar del Plata,Buenos Aires,BA,5476,AR,2023-12-30 10:45:48
49,1045,Calle 3550,,CABA,Buenos Aires,BA,8242,AR,2023-07-19 04:28:24
50,1046,Calle 1685,Piso 7 Dto C,Rafaela,Santa Fe,SF,8274,AR,2023-07-26 10:10:56
51,1047,Calle 6184,Piso 4 Dto A,Córdoba,Córdoba,CBA,4908,AR,2024-03-11 16:00:25
52,1048,Calle 458,,La Plata,Buenos Aires,BA,2035,AR,2024-04-12 15:21:55
53,1049,Calle 2751,,Mendoza,Mendoza,MZA,7810,AR,2025-07-10 03:23:19
54,1050,Calle 5287,,La Plata,Buenos Aires,BA,4393,AR,2025-08-24 12:08:19
55,1051,Calle 1980,,La Plata,Buenos Aires,BA,6842,AR,2024-09-19 08:01:35
56,1052,Calle 5182,,La Plata,Buenos Aires,BA,8516,AR,2024-04-11 21:46:51
57,1053,Calle 6046,,La Plata,Buenos Aires,BA,7735,AR,2024-08-16 10:00:41
58,1054,Calle 1669,,Santa Fe,Santa Fe,SF,5127,AR,2023-09-30 04:20:00
59,1055,Calle 6367,,Río Cuarto,Córdoba,CBA,6440,AR,2024-02-02 08:48:54
60,1056,Calle 5210,,Río Cuarto,Córdoba,CBA,6490,AR,2023-06-02 09:59:41
61,1057,Calle 7355,,Río Cuarto,Córdoba,CBA,9248,AR,2023-05-26 15:32:59
62,1058,Calle 2033,Piso 5 Dto A,Mar del Plata,Buenos Aires,BA,4990,AR,2023-09-06 07:51:37
63,1059,Calle 8172,,La Plata,Buenos Aires,BA,7156,AR,2024-03-18 12:02:14
64,1060,Calle 9799,Piso 8 Dto C,Córdoba,Córdoba,CBA,3199,AR,2024-07-11 01:18:19
65,1061,Calle 8534,Piso 7 Dto C,CABA,Buenos Aires,BA,1388,AR,2024-04-25 18:06:44
66,1062,Calle 5616,,Santa Fe,Santa Fe,SF,5068,AR,2024-04-15 13:18:55
